﻿지하철역ID,출입구번호,정류장ID,주변건물,출구와정류장간이동거리,지하철역X좌표,지하철역Y좌표
﻿1002000228,﻿2,﻿6858,﻿서울법학원.국민은행. 농협.굿모닝신한증권.디오슈페리어빌딩.KFC.대우슈페리움,﻿189,﻿195710.0,﻿442518.2
﻿1007000715,﻿4,﻿110000662,﻿장미아파트.중현초등학교.하계2동사무소.하계5단지아파트.하계사회복지관,﻿51,﻿206032.1,﻿459511.0
﻿1007000715,﻿5,﻿110000315,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿95,﻿206020.1,﻿459668.1
﻿1007000715,﻿5,﻿110000316,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿146,﻿206086.7,﻿459477.0
﻿1007000715,﻿5,﻿110000324,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿141,﻿206111.0,﻿459639.7
﻿1007000715,﻿5,﻿110000325,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿192,﻿206132.6,﻿459699.5
﻿1007000715,﻿5,﻿110000346,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿99,﻿205971.6,﻿459678.7
﻿1007000715,﻿5,﻿110000353,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿104,﻿205896.2,﻿459521.5
﻿1007000715,﻿5,﻿110000354,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿118,﻿205909.9,﻿459485.6
﻿1007000715,﻿5,﻿110000661,﻿건영·학여울 청구아파트.우성·벽산·극동아파트.월계1교,﻿125,﻿206077.3,﻿459498.2
﻿1063075117,﻿1,﻿105000446,﻿청량리역광장.롯데백화점,﻿122,﻿204036.5,﻿453433.8
﻿1063075335,﻿1,﻿229000289,﻿임진초등학교. 문산우체국. 문산시외버스터미널. 문산읍사무소. 한진1차아파트,﻿99,﻿181182.2479,﻿483859.6325
﻿1075075235,﻿3,﻿228001575,﻿경기도 여성능력 개발센터,﻿200,﻿209545.00959,﻿422193.6001
﻿1003000313,﻿3,﻿219000383,﻿한국토지공사. 법원공무원교육원,﻿45,﻿180314.72957,﻿461468.55197
﻿1003000315,﻿1,﻿218000202,﻿능곡초교. 대림아파트,﻿65,﻿183354.05757,﻿459053.03472
﻿1003000316,﻿3,﻿218000099,﻿명지병원. 보건소. 용정초등학교. 화정고등학교,﻿145,﻿185186.52344,﻿459498.56332
﻿1003000317,﻿6,﻿218000282,﻿고양교육청. 고양시의회. 고양시청. 등기소. 성사1동주민센터. 우체국. 원당지구대,﻿45,﻿186157.16366,﻿461590.28951
﻿1003000318,﻿9,﻿218000090,﻿지축동방면,﻿90,﻿190859.27379,﻿461465.25701
﻿1003000335,﻿5,﻿103900150,﻿하나은행. 서울옥정초등학교. 옥정중학교,﻿40,﻿201520.19232,﻿449109.29257
﻿1003000338,﻿2,﻿121900114,﻿경원중학교. 녹원아파트. 반포종합사회복지관. 반포한양아파트. 한신아파트(312∼314동.329동). 신한은행,﻿10,﻿200998.92956,﻿445916.92417
﻿1004000428,﻿4,﻿0,﻿용산방면,﻿0,﻿197515.36506,﻿448235.49219
﻿1004000435,﻿3,﻿220000018,﻿과천등기소. 선암건문소. 뒷골. 안골,﻿55,﻿200114.39552,﻿439209.84426
﻿1004000438,﻿5,﻿220000007,﻿과천고등학교. 과천시립도서관. 청계초등학교. 중앙공원,﻿230,﻿199641.9104,﻿437028.24885
﻿1001080174,﻿2,﻿0,﻿용화동방면. 온양2동주민센터,﻿0,﻿200281.1,﻿364644.8
﻿1069073114,﻿5,﻿167000426,﻿계산2동사무소.계산소방파출소.계산2동주민센터.계산2동지구대.세경아파트.재성아파트.계산아파트.계산천주교회.원불교 부평교당.계양산입산길.계양노동복지관 교통연수원,﻿44,﻿175940.76885,﻿449364.7603
﻿1069073114,﻿5,﻿167000431,﻿계산2동사무소.계산소방파출소.계산2동주민센터.계산2동지구대.세경아파트.재성아파트.계산아파트.계산천주교회.원불교 부평교당.계양산입산길.계양노동복지관 교통연수원,﻿62,﻿175938.51666,﻿449326.84687
﻿1001000107,﻿1,﻿235000245,﻿남방우체국. 양주1동주민센터. 남방1동주민센터. 하나로마트,﻿45,﻿203963.18824,﻿474921.30841
﻿1001000109,﻿1,﻿207000029,﻿가능1동주민센터.의정부중학교.의정부여자중학교.의정부여자고등학교.의정부경찰서.가능초등학교,﻿70,﻿203876.04364,﻿471925.38353
﻿1001000109,﻿2,﻿207000029,﻿의정부1동성당,﻿70,﻿203876.04364,﻿471925.38353
﻿1001000109,﻿3,﻿207000029,﻿중앙초등학교.배영초등학교.의정부1동주민센터,﻿70,﻿203876.04364,﻿471925.38353
﻿1001000109,﻿1,﻿207000021,﻿가능1동주민센터.의정부중학교.의정부여자중학교.의정부여자고등학교.의정부경찰서.가능초등학교,﻿50,﻿203876.04364,﻿471925.38353
﻿1001000109,﻿2,﻿207000021,﻿의정부1동성당,﻿50,﻿203876.04364,﻿471925.38353
﻿1001000109,﻿3,﻿207000021,﻿중앙초등학교.배영초등학교.의정부1동주민센터,﻿50,﻿203876.04364,﻿471925.38353
﻿1001080146,﻿1,﻿208000041,﻿관악파출소.석수2동주민센터,﻿120,﻿191905.93965,﻿435353.2118
﻿1001080146,﻿2,﻿208000041,﻿관악파출소.석수1동주민센터.삼성초등학교,﻿120,﻿191905.93965,﻿435353.2118
﻿1075075215,﻿3,﻿122000601,﻿개나리아파트.동부해오름아파트. 도성초등학교. 두올장식백화점. 세방빌딩. 월마트선릉점. 진선여중.여고. 한국씨티은행,﻿198,﻿204470.2,﻿445092.8
﻿1075075243,﻿5,﻿0,﻿권선우체국. 권선119안전센터,﻿0,﻿202600.5,﻿418107.6
﻿1075075243,﻿6,﻿0,﻿시청사거리. 한국장애인고용공단,﻿0,﻿202635.0,﻿418148.6
